"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "TypeScript JSX", "Markdown", "PostCSS", "Prisma", "YAML", "MS SQL", "comment", "blank", "total"
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\.eslintrc.cjs", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\.prettierrc", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\README.md", "Markdown", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 2, 29, 99
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\eslint.config.mjs", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 1, 2, 36
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\nest-cli.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\package.json", "JSON", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 1, 94
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\prisma.config.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 15
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\prisma\migrations\20260201102826_add_refresh_tokens\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 6, 8, 37
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\prisma\migrations\20260207151509_projects_domain\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 23, 19, 83
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\prisma\migrations\20260303191809_add_2fa\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 4
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\prisma\migrations\20260309180934_rbac_model\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 35, 30, 122
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\prisma\migrations\20260315055252_update_resource_enum\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 1, 16
